job_title,company_name,location,start_date,ctc,experience,posted,is_salary_disclosed,min_ctc,max_ctc,min_exp,max_exp,is_noisy_duplicate,is_repost_candidate,posted_days,is_remote,avg_ctc,job_title_top
Junior Digital Marketing Executive,SysTools Software Private Limited,Delhi,Starts Immediately,"₹ 2,00,000 - 3,50,000",0-2,2 weeks ago,True,200000,350000,0,2,False,False,14,False,275000,other
Inside Sales Manager,ClearTax,Bangalore,Starts Immediately,"₹ 3,00,000 - 5,00,000",1-5,2 days ago,True,300000,500000,1,5,False,False,2,False,400000,other
Field Sales Executive,KhasBook,"Bikaner, Jodhpur, Kota, Suratgarh, Hanumangarh, Sikar, Jhunjhunu, Jaipur",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,1 week ago,True,200000,300000,0,2,False,False,7,False,250000,Field Sales Executive
Video KYC Specialist,Talent Giants Consultancy Services,Noida,Starts Immediately,"₹ 2,00,000 - 3,20,000",0-2,3 days ago,True,200000,320000,0,2,False,False,3,False,260000,other
Trainee - Data Collection,Markelytics Solutions India,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2,3 weeks ago,True,200000,250000,0,2,False,False,21,False,225000,other
Senior Social Media Marketing Manager,Valkyre Clothing,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,50,000",1-3,Just now,True,250000,350000,1,3,False,False,0,False,300000,other
Digital Marketing Executive,VA Mantra,Surat,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2,1 week ago,True,200000,240000,0,2,False,False,7,False,220000,Digital Marketing Executive
Sales Executive,Boz,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,60,000",0-2,2 weeks ago,True,300000,360000,0,2,False,False,14,False,330000,Sales Executive
Graphic Designer,Team Variance,Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,Graphic Designer
Chartered Accountant (CA),Chaitali Bora,Pune,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 days ago,True,200000,300000,0,2,False,False,3,False,250000,other
Associate Video Editor,K4 Media & Technologies,Jaipur,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-5,2 days ago,True,200000,300000,0,5,False,False,2,False,250000,other
Illustrator,Ignis Careers Private Limited,Hyderabad,Starts Immediately,"₹ 2,80,000 - 3,60,000",0-2,6 days ago,True,280000,360000,0,2,False,False,6,False,320000,other
Business Development Manager,BNM Business Solutions LLP,Work from home,Starts Immediately,"₹ 2,00,000 - 8,00,000",1-3,3 weeks ago,True,200000,800000,1,3,False,False,21,True,500000,Business Development Manager
SME For Solution Creation,SpireEdu,Work from home,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2,1 week ago,True,200000,250000,0,2,False,False,7,True,225000,other
HR Recruiter,Eldon Marques,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,64,000",0-2,1 week ago,True,200000,264000,0,2,False,False,7,False,232000,other
Podcast Artist,RKO Services Private Limited,Dehradun,Starts Immediately,"₹ 2,00,000",0-2,1 week ago,True,200000,200000,0,2,False,False,7,False,200000,other
Associate Graphic Designer,Break The Code,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-4,4 days ago,True,200000,300000,0,4,False,False,4,False,250000,other
CRM,Farmley,Noida,Starts Immediately,"₹ 2,00,000 - 2,16,000",0-2,1 week ago,True,200000,216000,0,2,False,False,7,False,208000,other
Content Writing,Techdome Solutions Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2,3 weeks ago,True,200000,400000,0,2,False,False,21,False,300000,other
PHP Developer,GITCS India Pvt. Ltd.,Pune,Starts Immediately,"₹ 7,00,000 - 9,00,000",7-10,3 weeks ago,True,500000,800000,7,10,False,False,21,False,675000,PHP Developer
Sales Manager,Bolka Foods Private Limited,"Dahanu, Palghar, Mumbai, Virar, Vasai, Nala Sopara",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,2 weeks ago,True,200000,300000,0,2,False,False,14,False,250000,Sales Manager
Financial Content Creator (Video),Trade Brains,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2,3 weeks ago,True,300000,400000,0,2,False,False,21,False,350000,other
Trainee Engineer,Only Electriq Solutions Private Limited,Hyderabad,Starts Immediately,"₹ 2,00,000 - 2,60,000",0-2,2 weeks ago,True,200000,260000,0,2,False,False,14,False,230000,other
Junior Search Engine Optimization (SEO) Associate,Zedex Info Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000",0-2,3 weeks ago,True,200000,200000,0,2,False,False,21,False,200000,other
Jewelry Designer,Crossing Hurdles,Gurgaon,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5,2 weeks ago,True,300000,600000,0,5,False,False,14,False,450000,other
Chess Teacher,Talentgum,Work from home,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,2 days ago,True,200000,300000,0,2,False,False,2,True,250000,other
Event Management Specialist,MentorBoxx,"Pune, Mumbai",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5,3 weeks ago,True,400000,600000,0,5,False,False,21,False,500000,other
Sales Executive,Yeshwa Events And Decors,Bangalore,Starts Immediately,"₹ 2,00,000",0-2,2 weeks ago,True,200000,200000,0,2,False,False,14,False,200000,Sales Executive
Senior Sales Specialist (Field Work) - EdTech,Qlearncept,Hyderabad,Starts Immediately,"₹ 6,00,000 - 8,40,000",0-5,1 week ago,True,500000,800000,0,5,False,False,7,False,675000,other
Accounts Assistant,Marshalls Enterprise India Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000",0-2,3 weeks ago,True,200000,200000,0,2,False,False,21,False,200000,other
Marketing Executive,Marwood Infotech,Work from home,Starts Immediately,"₹ 4,00,000 - 7,50,000",0-5,2 weeks ago,True,400000,750000,0,5,False,False,14,True,575000,Marketing Executive
Human Resources (HR) Executive,Peritus Infotech Private Limited,Noida,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2,1 week ago,True,240000,300000,0,2,False,False,7,False,270000,Human Resources (HR) Executive
Event Management Specialist,Avaari,Work from home,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-1,6 days ago,True,200000,500000,0,1,False,False,6,True,350000,other
Junior Lead Generation Associate,Nixio Tech,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",0-3,4 days ago,True,400000,600000,0,3,False,False,4,True,500000,other
Sports Writer,421 Elba LLP,Bangalore,Starts Immediately,"₹ 3,00,000 - 4,20,000",0-2,1 day ago,True,300000,420000,0,2,False,False,1,False,360000,other
Sales Associate,The Agency Source,Delhi,Starts Immediately,"₹ 3,00,000",0-2,1 week ago,True,300000,300000,0,2,False,False,7,False,300000,other
Data Entry Specialist,UTOPIIC,Faridabad,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,other
Business Development Associate,Bhanzu (Formerly Exploring Infinities),Bangalore,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,Business Development Associate
Linux Developer,VIZON,Work from home,Starts Immediately,"₹ 6,40,000 - 11,80,000",0-5,3 weeks ago,True,500000,800000,0,5,False,False,21,True,675000,other
Receptionist/Front Office,Zaitoon Multi Cuisine Restaurant,"Vellore, Chennai, Bangalore, Madurai",Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2,4 days ago,True,200000,240000,0,2,False,False,4,False,220000,other
Backend Developer,Zeekers Technology Solutions Private Limited,Coimbatore,Starts Immediately,"₹ 3,26,000 - 5,00,000",1-3,2 days ago,True,326000,500000,1,3,False,False,2,False,413000,other
Junior Social Media Marketing Associate,SparkPlug,"Bangalore, Mumbai",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,1 week ago,True,200000,300000,0,2,False,False,7,False,250000,other
Customer Support Executive,Urbanium Private Limited (Worksy),Kolkata,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2,1 week ago,True,200000,240000,0,2,False,False,7,False,220000,other
Senior Graphic Designer,7Shades Events,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,20,000",0-2,3 weeks ago,True,200000,220000,0,2,False,False,21,False,210000,other
Senior Sales Executive,Apex Inox Enterprises,Work from home,Starts Immediately,"₹ 4,50,000 - 5,00,000",0-5,2 weeks ago,True,450000,500000,0,5,False,False,14,True,475000,other
Quality Assurance Engineer,Clappia,Bangalore,Starts Immediately,"₹ 3,60,000",1-3,3 weeks ago,True,360000,360000,1,3,False,False,21,False,360000,other
Logistics And Operations Executive,Rydeu Logistics UG,Work from home,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2,1 week ago,True,200000,210000,0,2,False,False,7,True,205000,other
Microsoft CRM/ERP Fresher,Nyla Info Technologies Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2,3 days ago,True,200000,240000,0,2,False,False,3,True,220000,other
Product Marketing Executive,A1 Advance,Work from home,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-5,1 week ago,True,500000,700000,0,5,False,True,7,True,600000,other
Embedded Systems Specialist,9 Pointers Tech Private Limited,Jaipur,Starts Immediately,"₹ 2,10,000 - 5,10,000",0-3,3 days ago,True,210000,510000,0,3,False,False,3,False,360000,other
Accountant,Ankit Doshi,Thane,Starts Immediately,"₹ 2,00,000",0-2,3 weeks ago,True,200000,200000,0,2,False,False,21,False,200000,Accountant
HR Recruiter,AQM Technologies,Mumbai,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5,1 week ago,True,200000,500000,0,5,False,False,7,False,350000,other
Graphic Designer,The HR Mindset Corporate Service Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,Graphic Designer
Business Development Executive,EV ChargeMan,"Hyderabad, Visakhapatnam, Bangalore, Bhubaneswar",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,1 week ago,True,200000,300000,0,2,False,False,7,False,250000,Business Development Executive
Digital Marketing Manager,Unnati,Delhi,Starts Immediately,Competitive salary,3-7,3 weeks ago,False,,,3,7,False,False,21,False,,other
Business Development Manager,Fusion Beauty,Delhi,Starts Immediately,"₹ 3,00,000 - 6,00,000",1-5,2 days ago,True,300000,600000,1,5,False,False,2,False,450000,Business Development Manager
Business Development Manager,Envicare Technologies,Hyderabad,Starts Immediately,"₹ 3,00,000 - 3,75,000",0-2,2 days ago,True,300000,375000,0,2,False,False,2,False,337500,Business Development Manager
R Language Programmer,MyNalanda Solutions & Services Private Limited,Pune,Starts Immediately,"₹ 2,40,000 - 4,00,000",0-2,2 weeks ago,True,240000,400000,0,2,False,False,14,False,320000,other
Senior Product Manager - Access Platform,Adobe,Bangalore,Starts Immediately,Competitive salary,3-5,1 week ago,False,,,3,5,False,False,7,False,,other
Assistant Manager - Accounts & Taxation,Mindfree Business Consulting Private Limited,Noida,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,other
Marketing Executive,Framework Engineering,Valsad,Starts Immediately,"₹ 2,00,000 - 2,00,001",0-2,3 weeks ago,True,200000,200001,0,2,False,False,21,False,200000,Marketing Executive
Digital Marketing Specialist,Cent Percent Mathematics,Delhi,Starts Immediately,"₹ 2,40,000 - 3,00,000",0-2,3 weeks ago,True,240000,300000,0,2,False,False,21,False,270000,Digital Marketing Specialist
Associate - Training And Placement,IIDE Education Private Limited,Mumbai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2,3 weeks ago,True,250000,300000,0,2,False,False,21,False,275000,other
Digital Marketing Specialist,Money Making Trading Courses,"Thane, Panvel, Navi Mumbai, Dombivli, Kalyan",Starts Immediately,"₹ 5,00,000 - 6,00,000",2-5,7 days ago,True,500000,600000,2,5,False,False,7,False,550000,Digital Marketing Specialist
Pre- Sales Associate,AntWalk,Work from home,Starts Immediately,"₹ 4,00,000 - 7,00,000",1-4,3 weeks ago,True,400000,700000,1,4,False,False,21,True,550000,other
Sales Engineer,Vitronics India,Mumbai,Starts Immediately,"₹ 2,40,000 - 2,60,000",0-2,3 weeks ago,True,240000,260000,0,2,False,False,21,False,250000,other
Creative Content Writer,Fusion Beauty,Delhi,Starts Immediately,"₹ 2,00,000 - 4,50,000",0-5,1 day ago,True,200000,450000,0,5,False,False,1,False,325000,other
Customer Support Executive,Creators Lab India Private Limited,Chennai,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2,3 weeks ago,True,250000,300000,0,2,False,False,21,False,275000,other
Business Development Associate,Success Tea Consultants,Gurgaon,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2,1 week ago,True,240000,360000,0,2,False,False,7,False,300000,Business Development Associate
Junior Corporate Sales Executive,M.K Infrastructure (P) Ltd,Siliguri,Starts Immediately,"₹ 2,00,000",0-2,1 week ago,True,200000,200000,0,2,False,False,7,False,200000,other
Product Marketing Executive,A1 Advance,"Anantapur, Guntur, Kadapa, Kurnool, Madanapalle, Nandyala, Srikakulam, Visakhapatnam, Vizianagaram, Tenali, Rajamahendravaram, Nellore, Ongole, Vijayawada, Proddatur",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-5,1 week ago,True,400000,600000,0,5,False,False,7,False,500000,other
Office Assistant,Suprem Service,Work from home,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-1,1 day ago,True,400000,700000,0,1,False,False,1,True,550000,other
Human Resources (HR) Executive,The HR Mindset Corporate Service Private Limited,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,Human Resources (HR) Executive
Senior Architect,Kahlon Infra LLP,Chandigarh,Starts Immediately,"₹ 3,00,000 - 6,00,000",4-6,3 weeks ago,True,300000,600000,4,6,False,False,21,False,450000,other
Junior Manufacturing Engineer,Mahalasa Medical Technology,Bangalore,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2,3 weeks ago,True,200000,250000,0,2,False,False,21,False,225000,other
IELTS Trainer/Tutor,OSI Visa & Immigration,"Borsad, Khambhat, Kheda, Anand, Nadiad",Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2,2 weeks ago,True,200000,210000,0,2,False,False,14,False,205000,other
Restaurant Captain,Zaitoon Multi Cuisine Restaurant,"Vellore, Chennai, Madurai, Bangalore",Starts Immediately,"₹ 2,10,000 - 2,16,000",0-2,3 days ago,True,210000,216000,0,2,False,False,3,False,213000,other
Operations Executive,Centre For Investment Education And Learning Limited,Mumbai,Starts Immediately,"₹ 2,00,000",0-2,2 weeks ago,True,200000,200000,0,2,False,False,14,False,200000,other
Product Support Executive-Technology,InCred Financial Services Limited,Mumbai,Starts Immediately,"₹ 3,20,000 - 3,20,001",0-2,3 days ago,True,320000,320001,0,2,False,False,3,False,320000,other
Junior Travel & Tourism Executive,Talent Corner HR Services,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2,2 weeks ago,True,200000,400000,0,2,False,False,14,False,300000,other
Sales Manager,Piegon Media Pvt Ltd,Chandigarh,Starts Immediately,"₹ 2,40,000 - 2,88,000",1-3,3 weeks ago,True,240000,288000,1,3,False,True,21,False,264000,Sales Manager
Sales Manager,IBAY CONSULTING,Bangalore,Starts Immediately,Competitive salary,10-15,1 week ago,False,,,10,15,False,False,7,False,,Sales Manager
Data Entry Executive,A1 Advance,"Sangareddy, Nizamabad, Hyderabad, Kothagudem, Nalgonda, Kamareddy, Gadwal, Khammam, Warangal, Suryapet, Karimnagar, Adilabad, Mancherial, Siddipet, Mahbubnagar",Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5,1 week ago,True,300000,500000,0,5,False,False,7,False,400000,Data Entry Executive
Credit Counsellor,Rutuja Gaikwad,Pune,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2,2 days ago,True,200000,400000,0,2,False,False,2,False,300000,other
Editing,Tulsi Weaves,Chennai,Starts Immediately,"₹ 2,16,000",0-2,3 weeks ago,True,216000,216000,0,2,False,False,21,False,216000,other
Sales Executive,Gainers Realtors LLP,Gurgaon,Starts Immediately,"₹ 2,00,000 - 4,20,000",0-5,Just now,True,200000,420000,0,5,False,False,0,False,310000,Sales Executive
Marketing Specialist,Trueline Media,"Mohali, Chandigarh, Panchkula, Kharar",Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2,2 weeks ago,True,240000,360000,0,2,False,False,14,False,300000,other
Event Management Executive,Bajaj Foundation,Delhi,Starts Immediately,"₹ 2,00,000",0-2,1 week ago,True,200000,200000,0,2,False,False,7,False,200000,other
Business Development Executive,PloPdo,Mumbai,Starts Immediately,"₹ 3,96,000 - 4,20,000",1-3,1 week ago,True,396000,420000,1,3,False,False,7,False,408000,Business Development Executive
Human Resources (HR) Executive,International Certification Services,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2,1 week ago,True,200000,250000,0,2,False,False,7,False,225000,Human Resources (HR) Executive
WordPress Developer,Sri Sai Overseas Recruitment,Surat,Starts Immediately,"₹ 2,00,000 - 5,00,000",1-3,3 weeks ago,True,200000,500000,1,3,False,True,21,False,350000,other
Performance Marketing Manager,Kyros Solution Private Limited,Bangalore,Starts Immediately,"₹ 4,00,000 - 7,00,000",0-5,1 week ago,True,400000,700000,0,5,False,False,7,False,550000,other
UI/UX & Webflow Developer,DevTown,Work from home,Starts Immediately,"₹ 3,00,000",0-2,1 week ago,True,300000,300000,0,2,False,False,7,True,300000,other
Inside Sales Associate,Qikwork,Bagalur,Starts Immediately,"₹ 2,50,000 - 3,00,000",0-2,2 weeks ago,True,250000,300000,0,2,False,False,14,False,275000,other
Video Editor,Suncrypto,Jaipur,Starts Immediately,"₹ 2,76,000 - 3,36,000",1-3,3 weeks ago,True,276000,336000,1,3,False,True,21,False,306000,Video Editor
Omni Sport Leader,Decathlon,"Chinchwad, Wakad, Nigdi, Pimpri-Chinchwad, Pune, Akurdi, Aundh",Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2,1 week ago,True,280000,300000,0,2,False,False,7,False,290000,other
Receptionist,Suprem Service,"Chennai, Coimbatore, Madurai, Nagapattinam, Tirunelveli, Kanyakumari, Thanjavur, Vellore, Kanchipuram, Cuddalore, Dharmapuri, Tiruchipalli, Trichey, Salem",Starts Immediately,"₹ 4,00,000 - 6,00,000",0-1,1 day ago,True,400000,600000,0,1,False,False,1,False,500000,other
Business Development Executive,Mindcell,Mumbai,Starts Immediately,"₹ 2,40,000 - 4,20,000",0-2,3 days ago,True,240000,420000,0,2,False,False,3,False,330000,Business Development Executive
Sales Executive,Whistling Woods International,Mumbai,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,Sales Executive
Finance Associate,SK Enterprises,"Mumbai, Ahmedabad",Starts Immediately,"₹ 2,80,000 - 3,00,000",0-2,2 weeks ago,True,280000,300000,0,2,False,False,14,False,290000,other
Field Sales Associate,Medy Seva Technologies Private Limited,Indore,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5,2 weeks ago,True,200000,500000,0,5,False,False,14,False,350000,other
Scheduling Executive,Viacom 18 Media Private Limited,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5,3 days ago,True,400000,500000,0,5,False,False,3,False,450000,other
Marketing Officer,Same Page,"Bhopal, Ahmedabad, Jaipur",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,other
Receptionist,Access Architects,Mumbai,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2,2 days ago,True,200000,250000,0,2,False,False,2,False,225000,other
Digital Marketing Executive,Sanali Group | Office Spaces In Hyderabad | Flexible Offices | Executive Offices,Hyderabad,Starts Immediately,"₹ 2,40,000 - 4,20,000",1-3,1 week ago,True,240000,420000,1,3,False,False,7,False,330000,Digital Marketing Executive
Legal Contract Specialist,Talent Corner HR Services,Mumbai,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2,2 weeks ago,True,200000,400000,0,2,False,False,14,False,300000,other
3D Generalist,Studio Image Works,Gurgaon,Starts Immediately,"₹ 3,00,000 - 5,00,000",1 year,3 weeks ago,True,300000,500000,1,1,False,False,21,False,400000,other
Assistant Manager,Suprem Service,Work from home,Starts Immediately,"₹ 5,00,000 - 7,00,000",0-1,Just now,True,500000,700000,0,1,False,False,0,True,600000,other
Customer Service Executive,GIGL Summaries,Work from home,Starts Immediately,"₹ 2,00,000",0-2,Few hours ago,True,200000,200000,0,2,False,False,0,True,200000,other
Business Development Executive,Cloudare Technologies Private Limited,Noida,Starts Immediately,"₹ 3,00,000 - 4,00,000",0-2,2 weeks ago,True,300000,400000,0,2,False,False,14,False,350000,Business Development Executive
Search Engine Optimization (SEO) Executive,Pereyan LLP,Bangalore,Starts Immediately,"₹ 3,00,000 - 3,50,000",0-2,1 day ago,True,300000,350000,0,2,False,False,1,False,325000,other
Corporate Sales Executive,Glambox Xperience & Xpositions,Thane,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2,3 weeks ago,True,200000,250000,0,2,False,False,21,False,225000,Corporate Sales Executive
Business Development Executive,Career Creed HR Services,Noida,Starts Immediately,"₹ 2,00,000 - 5,00,000",0-5,2 weeks ago,True,200000,500000,0,5,False,False,14,False,350000,Business Development Executive
Customer Support,Photo Jewels,Palampur,Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,3 weeks ago,True,200000,300000,0,2,False,False,21,False,250000,other
Influencer Marketing Executive,Quint Digital,Work from home,Starts Immediately,"₹ 2,00,000 - 2,50,000",0-2,3 weeks ago,True,200000,250000,0,2,False,False,21,True,225000,other
ASP.NET Developer,DOTSQUARES TECHNOLOGIES INDIA PRIVATE LIMITED,Jaipur,Starts Immediately,"₹ 11,00,000 - 11,00,000",7-10,5 days ago,True,500000,800000,7,10,False,False,5,False,675000,other
Marketing Trainee,JAM Campus Abroad,Navi Mumbai,Starts Immediately,"₹ 2,00,000 - 2,10,000",0-2,6 days ago,True,200000,210000,0,2,False,False,6,False,205000,other
Social Media Manager,Eulle Entertainment,Mumbai,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2,1 week ago,True,250000,400000,0,2,False,False,7,False,325000,other
Associate Chartered Accountant (CA),Oxylus Luxe Resort LLP,Mumbai,Starts Immediately,"₹ 3,60,000 - 4,80,000",0-2,4 days ago,True,360000,480000,0,2,False,False,4,False,420000,other
Senior Consultant - Recruitment,FyndBridge Consulting Services,Work from home,Starts Immediately,"₹ 2,00,000 - 4,00,000",0-2,2 weeks ago,True,200000,400000,0,2,False,False,14,True,300000,other
Site Project Engineer,Cubez Design Build Private Limited,Bangalore,Starts Immediately,"₹ 4,00,000 - 5,00,000",0-5,3 days ago,True,400000,500000,0,5,False,False,3,False,450000,other
Financial Analyst,Striiver Consulting,Work from home,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5,2 weeks ago,True,300000,500000,0,5,False,False,14,True,400000,other
Digital Marketing Associate - Remote,IIDE Education Private Limited,Work from home,Starts Immediately,"₹ 4,00,000 - 6,00,000",1-4,Few hours ago,True,400000,600000,1,4,False,False,0,True,500000,other
Senior DevOps Engineer,Texple,Mumbai,Starts Immediately,"₹ 10,00,000 - 18,00,000",0-5,3 weeks ago,True,500000,800000,0,5,False,False,21,False,675000,other
Search Engine Optimization (SEO) Executive,Fabulous Media Private Limited,Gurgaon,Starts Immediately,"₹ 2,00,000 - 3,00,000",1-2,5 days ago,True,200000,300000,1,2,False,False,5,False,250000,other
Sales Manager,Futuremug,Cochin,Starts Immediately,Competitive salary,7-10,3 weeks ago,False,,,7,10,False,False,21,False,,Sales Manager
Java Developer,BiggWorks,Bangalore,Starts Immediately,"₹ 4,00,000 - 10,00,000",1-3,1 week ago,True,400000,800000,1,3,False,False,7,False,675000,other
Digital Marketing Specialist,Ditinus Technology Private Ltd.,Mohali,Starts Immediately,"₹ 3,00,000 - 5,40,000",1-3,3 weeks ago,True,300000,540000,1,3,False,False,21,False,420000,Digital Marketing Specialist
Junior Search Engine Optimization (SEO) Executive,The Leaders Globe Media,Pune,Starts Immediately,"₹ 2,00,000",0-2,3 weeks ago,True,200000,200000,0,2,False,False,21,False,200000,other
Maths & Physics Tutor,Copper Digital,Work from home,Starts Immediately,"₹ 2,00,000",0-2,2 weeks ago,True,200000,200000,0,2,False,False,14,True,200000,other
Field Sales Executive,NoBroker Technologies Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 5,00,000",0-5,5 days ago,True,300000,500000,0,5,False,False,5,False,400000,Field Sales Executive
Digital Marketing Analyst,HiveMinds Innovative Market Solutions Private Limited,Mumbai,Starts Immediately,"₹ 3,50,000 - 4,50,000",0-2,3 weeks ago,True,350000,450000,0,2,False,False,21,False,400000,other
Graphic Designer,Social Agni,Delhi,Starts Immediately,"₹ 3,00,000",0-2,2 weeks ago,True,300000,300000,0,2,False,False,14,False,300000,Graphic Designer
Business Development Executive,Indiana Commerce,Noida,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5,6 days ago,True,300000,600000,0,5,False,False,6,False,450000,Business Development Executive
Sales Executive,Piegon Media Pvt Ltd,Chandigarh,Starts Immediately,"₹ 2,40,000 - 3,00,000",1-3,2 weeks ago,True,240000,300000,1,3,False,False,14,False,270000,Sales Executive
Design And Product Engineer,Primary Healthtech,Guwahati,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-1,3 weeks ago,True,200000,240000,0,1,False,False,21,False,220000,other
